Day,data,smoothed
2020-02-04,1.2603296690672148e-06,1.9316856948364403e-07
2020-02-05,1.340602874848925e-06,3.875563528844785e-07
2020-02-06,1.431848096697281e-06,5.842931824824746e-07
2020-02-07,1.5413262275975637e-06,7.843366377274944e-07
2020-02-08,1.6691986207272226e-06,9.88402532617516e-07
2020-02-09,1.8332141256058327e-06,1.1969155959173336e-06
2020-02-10,2.067014879731859e-06,1.4099797397475772e-06
2020-02-11,2.3849613158984127e-06,1.6273703706460347e-06
2020-02-12,2.7387281574590157e-06,1.8485485704086296e-06
2020-02-13,3.075472238798572e-06,2.072687394403121e-06
2020-02-14,3.3943867940298293e-06,2.298713218962539e-06
2020-02-15,3.6726403485435165e-06,2.5253645604730334e-06
2020-02-16,3.886029925722033e-06,2.751257269072638e-06
2020-02-17,4.065777365402083e-06,2.974960769313851e-06
2020-02-18,4.23608564420127e-06,3.1950918368225526e-06
2020-02-19,4.439067941434218e-06,3.4104178676969435e-06
2020-02-20,4.714175108987617e-06,3.6199778568827072e-06
2020-02-21,5.001383764849816e-06,3.823226908466716e-06
2020-02-22,5.2760068728708646e-06,4.020186870012033e-06
2020-02-23,5.602182321087401e-06,4.211608192850954e-06
2020-02-24,5.947155414476942e-06,4.39914485701011e-06
2020-02-25,6.226861147587686e-06,4.585503026045788e-06
2020-02-26,6.434038627434351e-06,4.774563443996839e-06
2020-02-27,6.564573347991947e-06,4.9714828961097056e-06
2020-02-28,6.612414565106072e-06,5.182736680180778e-06
2020-02-29,6.5889376777869985e-06,5.416115070964915e-06
2020-03-01,6.502210344907262e-06,5.680675709107476e-06
2020-03-02,6.384745231723171e-06,5.986616490445473e-06
2020-03-03,6.276477249653769e-06,6.345097942125533e-06
2020-03-04,6.190476006072559e-06,6.7680193779884185e-06
2020-03-05,6.135857955505506e-06,7.267729212038436e-06
2020-03-06,6.181762934490223e-06,7.856704412139744e-06
2020-03-07,6.380872755464354e-06,8.547189749910139e-06
2020-03-08,6.71003323746373e-06,9.350784812909901e-06
