date,new_cases,new_cases_smoothed,total_cases
2020-01-05,1.0,,1.0
2020-01-06,0.0,,1.0
2020-01-07,0.0,,1.0
2020-01-08,0.0,,1.0
2020-01-09,0.0,,1.0
2020-01-10,0.0,0.143,1.0
2020-01-11,0.0,0.143,1.0
2020-01-12,0.0,0.0,1.0
2020-01-13,0.0,0.0,1.0
2020-01-14,0.0,0.0,1.0
2020-01-15,0.0,0.0,1.0
2020-01-16,0.0,0.0,1.0
2020-01-17,0.0,0.0,1.0
2020-01-18,0.0,0.0,1.0
2020-01-19,0.0,0.0,1.0
2020-01-20,0.0,0.0,1.0
2020-01-21,0.0,0.0,1.0
2020-01-22,0.0,0.0,1.0
2020-01-23,0.0,0.0,1.0
2020-01-24,0.0,0.0,1.0
2020-01-25,0.0,0.0,1.0
2020-01-26,1.0,0.143,2.0
2020-01-27,0.0,0.143,2.0
2020-01-28,0.0,0.143,2.0
2020-01-29,0.0,0.143,2.0
2020-01-30,0.0,0.143,2.0
2020-01-31,0.0,0.143,2.0
2020-02-01,0.0,0.143,2.0
2020-02-02,9.0,1.286,11.0
2020-02-03,0.0,1.286,11.0
2020-02-04,0.0,1.286,11.0
2020-02-05,0.0,1.286,11.0
2020-02-06,0.0,1.286,11.0
2020-02-07,0.0,1.286,11.0
2020-02-08,0.0,1.286,11.0
2020-02-09,9.0,1.286,20.0
2020-02-10,0.0,1.286,20.0
2020-02-11,0.0,1.286,20.0
2020-02-12,0.0,1.286,20.0
2020-02-13,0.0,1.286,20.0
2020-02-14,0.0,1.286,20.0
2020-02-15,0.0,1.286,20.0
2020-02-16,5.0,0.714,25.0
2020-02-17,0.0,0.714,25.0
2020-02-18,0.0,0.714,25.0
2020-02-19,0.0,0.714,25.0
2020-02-20,0.0,0.714,25.0
2020-02-21,0.0,0.714,25.0
2020-02-22,0.0,0.714,25.0
2020-02-23,6.0,0.857,31.0
2020-02-24,0.0,0.857,31.0
2020-02-25,0.0,0.857,31.0
2020-02-26,0.0,0.857,31.0
2020-02-27,0.0,0.857,31.0
2020-02-28,0.0,0.857,31.0
2020-02-29,0.0,0.857,31.0
2020-03-01,139.0,19.857,170.0
2020-03-02,0.0,19.857,170.0
2020-03-03,0.0,19.857,170.0
2020-03-04,0.0,19.857,170.0
2020-03-05,0.0,19.857,170.0
2020-03-06,0.0,19.857,170.0
2020-03-07,0.0,19.857,170.0
2020-03-08,905.0,129.286,1075.0
2020-03-09,0.0,129.286,1075.0
2020-03-10,0.0,129.286,1075.0
2020-03-11,0.0,129.286,1075.0
2020-03-12,0.0,129.286,1075.0
2020-03-13,0.0,129.286,1075.0
2020-03-14,0.0,129.286,1075.0
2020-03-15,6441.0,920.143,7516.0
2020-03-16,0.0,920.143,7516.0
2020-03-17,0.0,920.143,7516.0
2020-03-18,0.0,920.143,7516.0
2020-03-19,0.0,920.143,7516.0
2020-03-20,0.0,920.143,7516.0
2020-03-21,0.0,920.143,7516.0
2020-03-22,22407.0,3201.0,29923.0
2020-03-23,0.0,3201.0,29923.0
2020-03-24,0.0,3201.0,29923.0
2020-03-25,0.0,3201.0,29923.0
2020-03-26,0.0,3201.0,29923.0
2020-03-27,0.0,3201.0,29923.0
2020-03-28,0.0,3201.0,29923.0
2020-03-29,33981.0,4854.429,63904.0
2020-03-30,0.0,4854.429,63904.0
2020-03-31,0.0,4854.429,63904.0
2020-04-01,0.0,4854.429,63904.0
2020-04-02,0.0,4854.429,63904.0
2020-04-03,0.0,4854.429,63904.0
2020-04-04,0.0,4854.429,63904.0
2020-04-05,36067.0,5152.429,99971.0
2020-04-06,0.0,5152.429,99971.0
2020-04-07,0.0,5152.429,99971.0
2020-04-08,0.0,5152.429,99971.0
2020-04-09,0.0,5152.429,99971.0
2020-04-10,0.0,5152.429,99971.0
2020-04-11,0.0,5152.429,99971.0
2020-04-12,27145.0,3877.857,127116.0
2020-04-13,0.0,3877.857,127116.0
2020-04-14,0.0,3877.857,127116.0
2020-04-15,0.0,3877.857,127116.0
2020-04-16,0.0,3877.857,127116.0
2020-04-17,0.0,3877.857,127116.0
2020-04-18,0.0,3877.857,127116.0
2020-04-19,17345.0,2477.857,144461.0
2020-04-20,0.0,2477.857,144461.0
2020-04-21,0.0,2477.857,144461.0
2020-04-22,0.0,2477.857,144461.0
2020-04-23,0.0,2477.857,144461.0
2020-04-24,0.0,2477.857,144461.0
2020-04-25,0.0,2477.857,144461.0
2020-04-26,12351.0,1764.429,156812.0
2020-04-27,0.0,1764.429,156812.0
2020-04-28,0.0,1764.429,156812.0
2020-04-29,0.0,1764.429,156812.0
2020-04-30,0.0,1764.429,156812.0
2020-05-01,0.0,1764.429,156812.0
2020-05-02,0.0,1764.429,156812.0
2020-05-03,7442.0,1063.143,164254.0
2020-05-04,0.0,1063.143,164254.0
2020-05-05,0.0,1063.143,164254.0
2020-05-06,0.0,1063.143,164254.0
2020-05-07,0.0,1063.143,164254.0
2020-05-08,0.0,1063.143,164254.0
2020-05-09,0.0,1063.143,164254.0
2020-05-10,6243.0,891.857,170497.0
2020-05-11,0.0,891.857,170497.0
2020-05-12,0.0,891.857,170497.0
2020-05-13,0.0,891.857,170497.0
2020-05-14,0.0,891.857,170497.0
2020-05-15,0.0,891.857,170497.0
2020-05-16,0.0,891.857,170497.0
2020-05-17,4775.0,682.143,175272.0
2020-05-18,0.0,682.143,175272.0
2020-05-19,0.0,682.143,175272.0
2020-05-20,0.0,682.143,175272.0
2020-05-21,0.0,682.143,175272.0
2020-05-22,0.0,682.143,175272.0
2020-05-23,0.0,682.143,175272.0
2020-05-24,3604.0,514.857,178876.0
2020-05-25,0.0,514.857,178876.0
2020-05-26,0.0,514.857,178876.0
2020-05-27,0.0,514.857,178876.0
2020-05-28,0.0,514.857,178876.0
2020-05-29,0.0,514.857,178876.0
2020-05-30,0.0,514.857,178876.0
2020-05-31,3206.0,458.0,182082.0
2020-06-01,0.0,458.0,182082.0
2020-06-02,0.0,458.0,182082.0
2020-06-03,0.0,458.0,182082.0
2020-06-04,0.0,458.0,182082.0
2020-06-05,0.0,458.0,182082.0
2020-06-06,0.0,458.0,182082.0
2020-06-07,2354.0,336.286,184436.0
2020-06-08,0.0,336.286,184436.0
2020-06-09,0.0,336.286,184436.0
2020-06-10,0.0,336.286,184436.0
2020-06-11,0.0,336.286,184436.0
2020-06-12,0.0,336.286,184436.0
2020-06-13,0.0,336.286,184436.0
2020-06-14,2348.0,335.429,186784.0
2020-06-15,0.0,335.429,186784.0
