Day,Worried_About_Catching_COVID,Public_Transit,COVID-Like_Symptoms,merged_covid_and_opinion_data,Restaurant_Indoors,daily-new-confirmed-covid-19-deaths-per-million-people,People_Wearing_Masks,COVID-Like_Symptoms_in_Community,Anxious,Tested_Positive,Shop_Indoors,Tested,COVID-19_Vaccine_Acceptance__Vaccinated_Appointment_or_Accept,daily-new-confirmed-covid-19-cases-per-million-people
2020-03-01,,,,0.013803268,,0.00041828083,,,,,,,,0.013803268
2020-03-02,,,,0.014221548,,0.00083656167,,,,,,,,0.014221548
2020-03-03,,,,0.021750603,,0.00083656167,,,,,,,,0.021750603
2020-03-04,,,,0.03471731,,0.0033462467,,,,,,,,0.03471731
2020-03-05,,,,0.05437651,,0.0046010893,,,,,,,,0.05437651
2020-03-06,,,,0.08030992,,0.0054376507,,,,,,,,0.08030992
2020-03-07,,,,0.11084442,,0.0062742126,,,,,,,,0.11084442
2020-03-08,,,,0.1635478,,0.007529055,,,,,,,,0.1635478
2020-03-09,,,,0.22085229,,0.009202179,,,,,,,,0.22085229
2020-03-10,,,,0.30199876,,0.010875301,,,,,,,,0.30199876
2020-03-11,,,,0.45048845,,0.01003874,,,,,,,,0.45048845
2020-03-12,,,,0.6370417,,0.011711863,,,,,,,,0.6370417
2020-03-13,,,,0.8273595,,0.015894672,,,,,,,,0.8273595
2020-03-14,,,,1.0988238,,0.017567795,,,,,,,,1.0988238
2020-03-15,,,,1.4493431,,0.020914042,,,,,,,,1.4493431
2020-03-16,,,,1.8981584,,0.024260288,,,,,,,,1.8981584
2020-03-17,,,,2.7025125,,0.03011622,,,,,,,,2.7025125
2020-03-18,,,,3.5302901,,0.037226994,,,,,,,,3.5302901
2020-03-19,,,,4.673033,,0.046010893,,,,,,,,4.673033
2020-03-20,,,,6.4871173,,0.067761496,,,,,,,,6.4871173
2020-03-21,,,,8.739978,,0.0936949,,,,,,,,8.739978
2020-03-22,,,,11.496867,,0.12757565,,,,,,,,11.496867
2020-03-23,,,,14.797521,,0.16898546,,,,,,,,14.797521
2020-03-24,,,,18.407284,,0.21081354,,,,,,,,18.407284
2020-03-25,,,,21.91457,,0.2706277,,,,,,,,21.91457
2020-03-26,,,,25.3039,,0.34633654,,,,,,,,25.3039
2020-03-27,,,,29.174252,,0.44546908,,,,,,,,29.174252
2020-03-28,,,,34.34462,,0.5592415,,,,,,,,34.34462
2020-03-29,,,,39.69234,,0.7244624,,,,,,,,39.69234
2020-03-30,,,,44.528923,,0.9101791,,,,,,,,44.528923
2020-03-31,,,,50.968773,,1.1389787,,,,,,,,50.968773
2020-04-01,,,,52.968994,,1.3343159,,,,,,,,52.968994
2020-04-02,,,,57.95825,,1.6576469,,,,,,,,57.95825
2020-04-03,,,,64.048,,2.0006373,,,,,,,,64.048
2020-04-04,,,,68.781265,,2.4063697,,,,,,,,68.781265
2020-04-05,,,,73.68059,,2.7782214,,,,,,,,73.68059
2020-04-06,,,0.8541293,78.4745,,3.1898096,,,,,,,,78.4745
2020-04-07,,,0.8544792,78.81875,,3.695093,,,,,,,,78.81875
2020-04-08,,,0.8479153,84.295296,,4.1384706,,,,,,,,84.295296
2020-04-09,,,0.8260707,86.84472,,4.6031804,,,,,,,,86.84472
2020-04-10,,,0.8173325,89.13439,,5.0632896,,,,,,,,89.13439
2020-04-11,,,0.8289946,91.20614,,5.4476895,,,,,,,,91.20614
2020-04-12,,,0.8311046,91.675446,,5.8095026,,,,,,,,91.675446
2020-04-13,,,0.808726,91.4249,,6.0822215,,,,,,,,91.4249
2020-04-14,,,0.7926766,91.47091,,6.075529,,,,,,,,91.47091
2020-04-15,,,0.771473,90.05502,,6.165041,,21.3345835,,,,,,90.05502
2020-04-16,,,0.7473341,88.34175,,6.3068385,,20.7615534,,,,,,88.34175
2020-04-17,,,0.7423392,84.60232,,6.5201616,,20.630722,,,,,,84.60232
2020-04-18,,,0.7103675,83.243324,,6.610092,,20.5150964,,,,,,83.243324
2020-04-19,,,0.6767253,82.045784,,6.6498284,,20.3164629,,,,,,82.045784
2020-04-20,,,0.6773531,80.6847,,6.50594,,20.217944,,,,,,80.6847
2020-04-21,,,0.6644073,80.25638,,6.562826,,20.126819,,,,,,80.25638
2020-04-22,,,0.6555542,80.751625,,6.6347704,,20.0231151,,,,,,80.751625
2020-04-23,,,0.6583126,81.03104,,6.735576,,20.019919,,,,,,81.03104
2020-04-24,,,0.6332021,83.23203,,6.522253,,19.9702182,,,,,,83.23203
2020-04-25,,,0.6282148,83.95022,,6.3294253,,19.8692937,,,,,,83.95022
2020-04-26,,,0.6211243,85.81659,,6.231966,,19.8290127,,,,,,85.81659
2020-04-27,,,0.5938127,88.04268,,6.2503705,,19.7797501,,,,,,88.04268
2020-04-28,,,0.5750462,88.03975,,6.058798,,19.7104771,,,,,,88.03975
2020-04-29,,,0.5651652,86.92294,,5.8128486,,19.5882268,,,,,,86.92294
2020-04-30,,,0.547679,86.08972,,5.577775,,19.3947385,,,,,,86.08972
2020-05-01,,,0.532111,84.543755,,5.659758,,19.2393691,,,,,,84.543755
2020-05-02,,,0.5088832,83.71138,,5.766001,,19.006151,,,,,,83.71138
2020-05-03,,,0.5061664,83.001976,,5.703259,,18.875817,,,,,,83.001976
2020-05-04,,,0.5060295,80.78049,,5.5848856,,18.7832911,,,,,,80.78049
2020-05-05,,,0.5016454,80.7236,,5.5334373,,18.7109621,,,,,,80.7236
2020-05-06,,,0.4959071,80.12379,,5.4422517,,18.5299282,,,,,,80.12379
2020-05-07,,,0.488744,79.68166,,5.577357,,18.3001282,,,,,,79.68166
2020-05-08,,,0.4871117,79.12367,,5.545567,,18.0340521,,,,,,79.12367
2020-05-09,,,0.491126,78.007286,,5.45982,,18.0460915,,,,,,78.007286
2020-05-10,,,0.4777297,76.23001,,5.3364267,,17.8135016,,,,,,76.23001
2020-05-11,,,0.472601,75.236595,,5.28707,,17.7242616,,,,,,75.236595
2020-05-12,,,0.4676403,73.03183,,5.1452727,,17.6390975,,,,,,73.03183
2020-05-13,,,0.4574089,72.03883,,5.04614,,17.4717944,,,,,,72.03883
2020-05-14,,,0.4524025,72.467155,,4.669269,,17.3053129,,,,,,72.467155
2020-05-15,,,0.4511664,69.07741,,4.3204226,,17.1287593,,,,,,69.07741
2020-05-16,,,0.4410782,71.62515,,4.2827773,,16.9312519,,,,,,71.62515
2020-05-17,,,0.4344523,70.70284,,4.237185,,16.7386156,,,,,,70.70284
2020-05-18,,,0.4347504,70.77145,,4.1317782,,16.5349613,,,,,,70.77145
2020-05-19,,,0.4408768,70.46233,,4.070709,,16.4038574,,,,,,70.46233
2020-05-20,,,0.437167,71.63101,,4.0339003,,16.2475394,,,,,,71.63101
2020-05-21,,,0.4387452,70.80323,,3.885829,,16.0950314,,,,,,70.80323
2020-05-22,,,0.4441046,73.384026,,3.8301976,,15.9969378,,,,,,73.384026
2020-05-23,,,0.445909,69.84872,,3.4704762,,15.8225018,,,,,,69.84872
2020-05-24,,,0.4494633,69.57056,,3.5796473,,15.7100955,,,,,,69.57056
2020-05-25,,,0.4467629,67.63978,,3.4533265,,15.5817351,,,,,,67.63978
2020-05-26,,,0.4369506,67.94679,,3.3951855,,15.3774147,,,,,,67.94679
2020-05-27,,,0.4387702,66.539276,,3.2868507,,15.2201781,,,,,,66.539276
2020-05-28,,,0.4347849,64.693405,,3.1329234,,15.1211034,,,,,,64.693405
2020-05-29,,,0.434562,63.02112,,3.0956964,,15.0510893,,,,,,63.02112
2020-05-30,,,0.4345444,62.180794,,3.1659677,,14.9825922,,,,,,62.180794
2020-05-31,,,0.4333632,61.251373,,2.8484924,,14.8953964,,,,,,61.251373
2020-06-01,,,0.4410455,62.364834,,2.8355258,,14.8051916,,,,,,62.364834
2020-06-02,,,0.447967,62.705734,,2.7874234,,14.7894163,,,,,,62.705734
2020-06-03,,,0.445493,61.776314,,2.7890966,,14.7502972,,,,,,61.776314
2020-06-04,,,0.4541188,63.22524,,2.8405452,,14.7105996,,,,,,63.22524
2020-06-05,,,0.4480829,63.721737,,2.7305372,,14.6090389,,,,,,63.721737
2020-06-06,,,0.4602584,62.33639,,2.5774465,,14.5403317,,,,,,62.33639
2020-06-07,,,0.4670644,62.650105,,2.5042474,,14.504306,,,,,,62.650105
2020-06-08,,,0.4587954,62.29791,,2.405115,,14.4941788,,,,,,62.29791
2020-06-09,,,0.4673867,61.038467,,2.3716524,,14.4343245,,,,,,61.038467
2020-06-10,,,0.4772459,61.45424,,2.4072063,,14.4126214,,,,,,61.45424
2020-06-11,,,0.4790044,60.453293,,2.3624501,,14.3447425,,,,,,60.453293
2020-06-12,,,0.4871144,61.074856,,2.3038907,,14.3725018,,,,,,61.074856
2020-06-13,,,0.4843629,61.919785,,2.3051457,,14.4391961,,,,,,61.919785
2020-06-14,,,0.4779309,63.52682,,2.2461681,,14.4754646,,,,,,63.52682
2020-06-15,,,0.4817928,64.84399,,2.2528605,,14.5219775,,,,,,64.84399
2020-06-16,,,0.475742,65.81565,,2.2093594,,14.6504258,,,,,,65.81565
2020-06-17,,,0.472879,66.83626,,2.1043708,,14.8183578,,,,,,66.83626
2020-06-18,,,0.4875446,69.427925,,2.0403738,,15.0509346,,,,,,69.427925
2020-06-19,,,0.4987808,70.94838,,1.9575543,,15.2527337,,,,,,70.94838
2020-06-20,,,0.5082541,73.3033,,1.8550755,,15.4512768,,,,,,73.3033
2020-06-21,,,0.5270704,75.29933,,1.8634411,,15.7158617,,,,,,75.29933
2020-06-22,,,0.5398867,78.241104,,1.8178484,,16.0070912,,,,,,78.241104
2020-06-23,,,0.5569546,80.98795,,1.7860591,,16.3051804,,,,,,80.98795
2020-06-24,,,0.5741994,84.37895,,1.7400483,,16.6114971,,,,,,84.37895
2020-06-25,,,0.5872362,89.86262,,1.7701645,,16.9234052,,,,,,89.86262
2020-06-26,,,0.5927842,94.67452,,1.7735107,,17.2588936,,,,,,94.67452
2020-06-27,,,0.6047029,102.41313,,2.5640614,,17.574779,,,,,,102.41313
2020-06-28,,,0.6133111,108.03274,,2.5435658,,17.8646425,,,,,,108.03274
2020-06-29,,,0.6264495,112.29334,,2.5506766,,18.1564936,,,,,,112.29334
2020-06-30,,,0.6301099,116.57571,,2.5615518,,18.4692964,,,,,,116.57571
2020-07-01,,,0.6415654,120.6828,,2.5807927,,18.7178222,,,,,,120.6828
2020-07-02,,,0.6359665,124.600426,,2.5456572,,18.9272594,,,,,,124.600426
2020-07-03,,,0.6394889,133.8118,,2.5833025,,19.1082476,,,,,,133.8118
2020-07-04,,,0.6437994,137.33833,,1.8182667,,19.3647683,,,,,,137.33833
2020-07-05,,,0.6433255,143.12148,,1.861768,,19.60143,,,,,,143.12148
2020-07-06,,,0.6512449,145.34883,,1.8391808,,19.8853209,,,,,,145.34883
2020-07-07,,,0.6522873,146.53256,,1.8479648,,20.1555361,,,,,,146.53256
2020-07-08,,,0.6558588,151.65483,,1.9052691,,20.4873145,,,,,,151.65483
2020-07-09,,,0.6582894,155.6289,,2.016532,,20.8223966,,,,,,155.6289
2020-07-10,,,0.6716999,157.90143,,2.1407614,,21.1534572,,,,,,157.90143
2020-07-11,,,0.6763017,160.6165,,2.2482595,,21.441907,,,,,,160.6165
2020-07-12,,,0.6829796,164.05183,,2.3126748,,21.7416896,,,,,,164.05183
2020-07-13,,,0.685194,172.11797,,2.459073,,21.9883027,,,,,,172.11797
2020-07-14,,,0.6999038,179.7587,,2.6180198,,22.1957643,,,,,,179.7587
2020-07-15,,,0.6988745,182.06927,,2.673651,,22.3283331,,,,,,182.06927
2020-07-16,,,0.7009632,185.31598,,2.6677952,,22.5284203,,,,,,185.31598
2020-07-17,,,0.697074,188.50076,,2.6857812,,22.6618824,,,,,,188.50076
2020-07-18,,,0.7023859,191.52829,,2.7393212,,22.7900953,,,,,,191.52829
2020-07-19,,,0.7090324,195.03055,,2.78826,,22.8796396,,,,,,195.03055
2020-07-20,,,0.7053714,194.6382,,2.8367805,,22.9499512,,,,,,194.6382
2020-07-21,,,0.7145563,195.19536,,2.8752625,,22.9978405,,,,,,195.19536
2020-07-22,,,0.7089407,196.12895,,2.9321487,,23.0476027,,,,,,196.12895
2020-07-23,,,0.7136171,195.63538,,3.0488489,,23.01433,,,,,,195.63538
2020-07-24,,,0.7163001,195.64668,,3.0777104,,23.0124609,,,,,,195.64668
2020-07-25,,,0.7175477,197.30348,,3.1467266,,22.9829316,,,,,,197.30348
2020-07-26,,,0.7079573,195.71402,,3.2316377,,22.8988252,,,,,,195.71402
2020-07-27,,,0.7066075,193.3181,,3.291452,,22.8317527,,,,,,193.3181
2020-07-28,,,0.6942104,192.37572,,3.2993991,,22.7830034,,,,,,192.37572
2020-07-29,,,0.7008859,190.48843,,3.3282607,,22.6776766,,,,,,190.48843
2020-07-30,,,0.6958474,188.55263,,3.3157122,,22.5654192,,,,,,188.55263
2020-07-31,,,0.7015693,185.39001,,3.3106928,,22.4935492,,,,,,185.39001
2020-08-01,,,0.6981284,182.46162,,3.3717618,,22.3934459,,,,,,182.46162
2020-08-02,,,0.7045928,180.3836,,3.4073157,,22.3570385,,,,,,180.3836
2020-08-03,,,0.6993234,178.21524,,3.4140081,,22.2841555,,,,,,178.21524
2020-08-04,,,0.6932878,175.32492,,3.401878,,22.1706198,,,,,,175.32492
2020-08-05,,,0.6851393,171.69508,,3.3671608,,22.065091,,,,,,171.69508
2020-08-06,,,0.6918954,168.91267,,3.329097,,22.0303762,,,,,,168.91267
2020-08-07,,,0.6815008,165.03815,,3.362978,,21.9301917,,,,,,165.03815
2020-08-08,,,0.6789415,159.61053,,3.283923,,21.7884246,,,,,,159.61053
2020-08-09,,,0.6736555,157.23553,,3.2621722,,21.6593282,,,,,,157.23553
2020-08-10,,,0.679564,155.25581,,3.2115602,,21.4502968,,,,,,155.25581
2020-08-11,,,0.6775573,153.42542,,3.202358,,21.2695008,,,,,,153.42542
2020-08-12,,,0.6778759,152.60893,,3.1780977,,21.0635994,,,,,,152.60893
2020-08-13,,,0.6712478,155.4959,,3.188973,,20.8994816,,,,,,155.4959
2020-08-14,,,0.660089,154.99396,,3.2165797,,20.6911905,,,,,,154.99396
2020-08-15,,,0.6514857,154.30673,,3.209887,,20.5477148,,,,,,154.30673
2020-08-16,,,0.6468135,151.69456,,3.0969512,,20.3879727,,,,,,151.69456
2020-08-17,,,0.6425712,151.46785,,3.0588877,,20.26737,,,,,,151.46785
2020-08-18,,,0.6345064,149.38565,,3.0542867,,20.1435568,,,,,,149.38565
2020-08-19,,,0.6427872,148.63777,,2.9881983,,20.0603129,,,,,,148.63777
2020-08-20,,,0.6463992,141.38771,,2.9170904,,19.9177433,,,,,,141.38771
2020-08-21,,,0.6529671,138.11758,,2.8911572,,19.8348767,,,,,,138.11758
2020-08-22,,,0.6488613,135.88606,,2.8095922,,19.7479515,,,,,,135.88606
2020-08-23,,,0.6447859,132.08807,,2.7928612,,19.6365695,,,,,,132.08807
2020-08-24,,,0.6441126,128.49629,,2.8154483,,19.5714465,,,,,,128.49629
2020-08-25,,,0.6515575,126.285675,,2.7932794,,19.5130767,,,,,,126.285675
2020-08-26,,,0.6592357,123.82911,,2.7711105,,19.5103085,,,,,,123.82911
2020-08-27,,,0.6595694,123.389496,,2.751033,,19.4681721,,,,,,123.389496
2020-08-28,,,0.6381569,123.32927,,2.6665404,,19.2998762,,,,,,123.32927
2020-08-29,,,0.6473634,123.635864,,2.6414435,,19.2984995,,,,,,123.635864
2020-08-30,,,0.6254828,123.370255,,2.6531553,,19.1769275,,,,,,123.370255
2020-08-31,,,0.6251859,122.68344,,2.5833025,,19.0850376,,,,,,122.68344
2020-09-01,,,0.6273362,122.86121,,2.533527,,19.0265751,,,,,,122.86121
2020-09-02,,,0.6407871,124.10769,,2.5205603,,19.0600936,,,,,,124.10769
2020-09-03,,,0.6372859,123.523766,,2.5121946,,18.9958455,,,,,,123.523766
2020-09-04,,,0.6353351,122.359695,,2.4377408,,18.9186888,,,,,,122.359695
2020-09-05,,,0.6511114,121.670364,,2.441087,,18.9346016,,,,,,121.670364
2020-09-06,,,0.6669017,123.49867,,2.3862922,,18.9369772,,,,,,123.49867
2020-09-07,,,0.6774759,123.59111,,2.3703976,,18.8137863,,,,,,123.59111
2020-09-08,,3.8647038,0.690305,122.58807,,2.3570125,,18.7044124,,9.2417179,,8.4074205,,122.58807
2020-09-09,,3.888827,0.6679677,116.807434,,2.3001263,,18.483637,,8.3329862,,8.3341155,,116.807434
2020-09-10,,3.8604154,0.6628943,112.15447,,2.171714,,18.4145857,,8.3143553,,8.5367219,,112.15447
2020-09-11,,3.8959188,0.6556623,108.395386,,2.1474538,,18.2951738,,8.0386522,,8.5143632,,108.395386
2020-09-12,,3.9783376,0.6379698,105.5975,,2.0989332,,18.0979176,,8.1416802,,8.5916948,,105.5975
2020-09-13,,3.893006,0.6181918,102.738556,,2.0817838,,17.8897526,,7.9930342,,8.5743816,,102.738556
2020-09-14,,3.8890202,0.605799,102.4215,,2.0236428,,17.9249228,,8.0231008,,8.5588337,,102.4215
2020-09-15,,3.8413213,0.5905872,101.85724,,2.0382824,,17.9028568,,8.1243943,,8.5613589,,101.85724
