Day,-2,-1,0,1,2,Cases
2021-05-20,0.013,0.353,0.446,0.174,0.014,95.14323571428572
2021-05-21,0.014,0.384,0.424,0.16,0.018,92.52682857142858
2021-05-22,0.016,0.359,0.452,0.16,0.013,89.2991342857143
2021-05-23,0.018,0.335,0.449,0.184,0.014,86.2073807142857
2021-05-24,0.022,0.344,0.439,0.178,0.017,83.08999214285714
2021-05-25,0.018,0.385,0.427,0.154,0.016,80.02148357142858
2021-05-26,0.031,0.376,0.421,0.15,0.022,76.96719714285715
2021-05-27,0.015,0.364,0.46,0.148,0.013,74.05429000000001
2021-05-28,0.023,0.374,0.425,0.164,0.014,71.39695214285715
2021-05-29,0.017,0.362,0.452,0.153,0.016,69.128555
2021-05-30,0.019,0.378,0.427,0.156,0.02,67.10897614285714
2021-05-31,0.029,0.401,0.414,0.145,0.011,65.15016728571429
2021-06-01,0.013,0.39,0.428,0.15,0.019,63.290849428571434
2021-06-02,0.02,0.364,0.465,0.136,0.015,61.392033142857144
2021-06-03,0.019,0.364,0.45,0.157,0.01,58.74222457142857
2021-06-04,0.018,0.395,0.429,0.147,0.011,55.888593428571426
2021-06-05,0.024,0.406,0.421,0.139,0.01,53.163971999999994
2021-06-06,0.014,0.361,0.47,0.142,0.013,50.25399228571428
2021-06-07,0.019,0.371,0.461,0.137,0.012,47.684732000000004
2021-06-08,0.021,0.386,0.442,0.138,0.013,45.25971842857143
2021-06-09,0.026,0.4,0.411,0.149,0.014,43.183850428571425
2021-06-10,0.014,0.413,0.415,0.148,0.01,42.36372085714286
2021-06-11,0.023,0.393,0.421,0.151,0.012,42.202025142857146
2021-06-12,0.033,0.421,0.411,0.126,0.009,42.13545885714286
2021-06-13,0.023,0.386,0.411,0.164,0.016,42.16252742857143
2021-06-14,0.033,0.368,0.444,0.144,0.011,42.10056228571428
2021-06-15,0.027,0.414,0.406,0.144,0.009,41.973047
2021-06-16,0.021,0.384,0.455,0.133,0.007,41.719269857142855
2021-06-17,0.033,0.395,0.395,0.165,0.012,41.04261114285714
2021-06-18,0.022,0.404,0.429,0.123,0.022,39.767691571428564
2021-06-19,0.019,0.386,0.454,0.127,0.014,38.48004357142857
2021-06-20,0.022,0.421,0.408,0.14,0.009,37.34841471428571
2021-06-21,0.02,0.4,0.436,0.131,0.013,36.35924014285714
2021-06-22,0.032,0.407,0.416,0.132,0.013,35.53074514285714
2021-06-23,0.021,0.384,0.444,0.132,0.019,34.816739857142856
2021-06-24,0.026,0.401,0.417,0.142,0.014,34.244352428571425
2021-06-25,0.029,0.405,0.412,0.142,0.012,34.09269571428571
2021-06-26,0.025,0.414,0.421,0.13,0.01,34.21160771428571
2021-06-27,0.022,0.407,0.412,0.149,0.01,34.630486
2021-06-28,0.023,0.428,0.396,0.138,0.015,35.10577271428571
2021-06-29,0.03,0.397,0.429,0.137,0.007,35.658919000000004
2021-06-30,0.03,0.386,0.433,0.137,0.014,36.30629857142857
2021-07-01,0.029,0.404,0.416,0.139,0.012,37.046536
2021-07-02,0.039,0.382,0.422,0.14,0.017,37.61808657142858
2021-07-03,0.024,0.401,0.416,0.141,0.018,38.244969857142856
2021-07-04,0.028,0.384,0.431,0.143,0.014,38.806661857142856
2021-07-05,0.027,0.408,0.4,0.149,0.016,39.30567057142857
2021-07-06,0.03,0.371,0.443,0.143,0.013,39.694373142857145
2021-07-07,0.027,0.388,0.448,0.131,0.006,39.894192
2021-07-08,0.025,0.397,0.437,0.131,0.01,40.22678514285714
2021-07-09,0.025,0.408,0.407,0.147,0.013,41.348077
