Date,1,2,3,4,5,6,7
,,,,,,,
27/03/2020,6.4,4.9,7.9,16.2,21.1,18.8,24.8
13/04/2020,4.0,3.0,4.9,14.6,18.6,17.7,37.2
19/09/2020,4.6,3.3,7.5,22.3,21.4,16.5,24.2
16/10/2020,4.0,3.2,6.5,23.9,24.6,18.8,19.1
20/11/2020,4.6,2.6,6.3,21.5,21.0,17.5,26.5
11/12/2020,4.4,2.9,5.8,21.7,21.2,17.7,26.3
22/01/2021,3.5,3.2,5.7,19.2,21.4,19.6,27.3
19/02/2021,4.8,3.7,7.0,23.6,23.0,16.2,21.7
26/03/2021,4.4,3.8,1.0,23.5,23.4,16.0,21.8
23/04/2021,5.0,2.4,6.2,22.6,22.3,16.3,25.3
28/05/2021,4.9,3.8,7.2,23.2,21.7,15.5,23.6
25/06/2021,5.5,3.6,8.7,24.8,24.0,14.6,18.1
30/07/2021,4.5,4.1,8.4,25.6,21.8,14.9,20.7
27/08/2021,5.0,3.4,8.1,24.1,19.0,15.2,25.2
24/09/2021,5.7,3.8,8.2,24.0,21.4,15.8,21.0
22/10/2021,6.4,4.5,10.2,25.9,23.2,12.8,17.0
26/11/2021,6.4,4.4,11.0,26.6,22.5,14.0,15.1
24/12/2021,6.0,4.4,9.8,26.7,21.8,14.5,17.0
28/01/2022,5.3,3.1,6.9,25.7,20.4,15.6,23.0
25/02/2022,6.1,4.2,9.3,24.9,22.7,13.7,19.0
25/03/2022,7.3,4.2,10.4,27.9,22.1,12.8,15.3
28/04/2022,6.2,4.2,10.2,28.8,21.3,14.1,15.2
27/05/2022,7.2,5.5,10.8,29.1,22.1,11.4,13.9
24/06/2022,6.1,5.8,11.1,29.7,22.3,11.7,13.4
22/07/2022,5.7,4.0,8.8,25.9,22.2,15.4,18.0
26/08/2022,6.3,4.3,9.2,24.9,23.4,14.2,17.7
22/09/2022,6.2,3.9,11.2,27.6,23.2,13.2,14.8
28/10/2022,6.3,4.8,10.9,27.7,23.8,13.5,13.0
25/11/2022,5.9,4.3,10.8,26.5,24.4,14.9,13.2
23/12/2022,5.6,5.2,10.0,27.7,22.7,14.8,14.1
27/01/2023,5.9,4.8,11.8,26.7,22.0,14.4,14.5
27/02/2023,6.6,5.8,13.3,29.0,22.0,11.9,11.4
24/03/2023,6.9,6.4,12.3,29.2,22.8,12.0,10.5
28/04/2023,8.2,6.2,13.5,30.8,20.3,11.1,9.9
26/05/2023,7.6,6.8,13.6,31.0,21.3,9.8,9.9
23/06/2023,6.0,6.4,12.3,33.1,19.6,12.0,10.6
25/08/2023,6.9,6.0,12.0,30.3,22.4,11.6,10.7
27/10/2023,6.6,6.4,12.6,29.9,22.9,11.4,10.2
22/12/2023,6.7,6.2,12.4,32.6,21.1,10.9,10.1
