Date,1,2,3,4,5,6,7
,,,,,,,
27/03/2020,5.8,6.5,10.0,20.2,22.0,15.4,20.1
13/04/2020,2.9,3.6,6.5,16.0,20.6,18.6,31.7
19/09/2020,4.6,3.9,7.4,24.3,23.8,15.6,20.3
16/10/2020,4.5,4.6,7.6,24.1,22.7,15.8,20.7
20/11/2020,4.6,3.2,7.5,20.6,23.4,16.9,23.8
11/12/2020,4.3,3.6,7.6,22.8,21.4,16.9,23.4
22/01/2021,3.8,3.4,7.0,21.4,22.2,18.2,24.1
19/02/2021,4.3,4.9,8.8,24.0,24.0,15.3,18.7
26/03/2021,4.9,4.4,8.0,25.2,23.1,15.7,18.6
23/04/2021,4.8,3.4,8.0,23.7,22.8,15.1,22.2
28/05/2021,5.0,4.3,9.5,24.0,22.5,14.6,20.2
25/06/2021,5.3,4.2,9.7,26.7,23.2,14.1,16.6
30/07/2021,4.4,4.1,9.1,27.0,23.0,13.8,18.4
27/08/2021,4.3,4.4,8.4,25.4,20.8,13.7,23.0
24/09/2021,5.4,4.1,10.0,25.5,22.9,14.2,18.0
22/10/2021,6.2,5.7,11.8,27.6,23.0,11.8,13.8
26/11/2021,6.2,5.3,12.0,27.5,21.6,13.6,13.8
24/12/2021,5.6,4.4,10.8,28.2,22.6,13.8,14.5
28/01/2022,5.0,4.2,9.0,24.8,22.0,15.1,20
25/02/2022,6.2,5.2,10.1,26.1,21.8,12.8,17.8
25/03/2022,7.2,5.6,11.7,29.4,21.3,11.6,13.2
28/04/2022,5.9,6.0,11.0,29.6,22.6,12.0,13.0
27/05/2022,7.0,6.4,11.5,30.2,22.4,11.0,11.5
24/06/2022,6.3,6.4,12.0,31.3,22.7,10.4,10.9
22/07/2022,5.3,4.8,10.0,25.6,24.2,14.5,15.6
26/08/2022,6.6,4.7,11.2,26.5,22.4,13.5,15.1
22/09/2022,6.0,5.9,13.6,27.2,22.2,12.4,12.7
28/10/2022,6.6,7.0,11.9,29.7,21.8,12.1,10.9
25/11/2022,5.6,5.7,11.9,28.4,24.4,12.6,11.4
23/12/2022,6.0,6.1,12.1,28.3,22.2,13.4,12.0
27/01/2023,6.3,6.1,13.2,28.8,21.1,12.8,11.8
27/02/2023,6.7,6.8,14.6,31.0,22.7,10.7,9.4
24/03/2023,8.4,7.4,14.9,29.8,22.0,9.7,8.0
28/04/2023,8.3,8.7,15.4,31.0,20.6,8.7,7.4
26/05/2023,8.2,9.4,13.6,30.8,20.6,9.1,8.3
23/06/2023,6.2,7.5,14.0,33.0,20.2,10.1,9.0
25/08/2023,7.4,8.0,12.5,32.1,22.6,9.5,7.9
27/10/2023,7.0,8.2,14.0,31.7,22.2,8.8,8.1
22/12/2023,7.0,7.5,13.9,34.0,20.0,9.7,7.9
