Date,1,2,3,4,5,6,7
29/05/2020,7.7,9.8,14.8,21.5,22.9,11.8,11.5
12/06/2020,8.8,10.1,16.4,22.4,21.8,11.0,9.6
26/06/2020,16.0,12.8,14.7,19.8,19.2,7.7,9.8
17/07/2020,13.1,11.2,14.9,20.9,20.5,8.2,11.2
21/08/2020,12.2,11.0,15.1,20.8,20.8,10.0,10.2
19/09/2020,13.6,11.8,15.8,19.9,19.8,9.9,9.2
16/10/2020,13.6,12.7,15.2,21.6,19.1,8.8,9.0
20/11/2020,11.0,11.1,15.6,20.0,21.3,9.9,11.0
11/12/2020,12.4,9.7,15.7,20.9,22.0,9.8,9.4
22/01/2021,8.8,9.5,14.9,22.0,22.9,10.4,11.6
19/02/2021,10.8,11.6,15.1,19.9,21.4,9.4,11.8
26/03/2021,11.2,10.3,13.8,21.7,22.6,8.8,11.6
23/04/2021,10.2,10.0,15.0,20.9,22.1,9.6,12.2
28/05/2021,9.9,10.0,13.7,20.6,23.4,9.2,13.2
25/06/2021,10.2,9.9,16.7,21.6,20.8,9.7,11.2
30/07/2021,10.0,10.7,13.6,22.1,22.0,10.4,11.1
27/08/2021,10.5,11.5,13.7,19.7,23.2,9.7,11.6
24/09/2021,10.6,9.8,15.5,19.9,23.5,9.3,11.4
22/10/2021,11.5,11.3,17.4,20.8,19.6,8.7,10.8
26/11/2021,11.4,10.8,16.8,21.8,20.1,8.4,10.7
24/12/2021,11.2,11.2,15.9,22.1,21.7,7.6,10.3
28/01/2022,9.3,11.1,14.6,21.3,21.2,10.6,12.0
25/02/2022,11.3,11.2,15.2,20.8,20.5,9.5,11.5
25/03/2022,12.2,11.0,15.2,21.5,21.2,8.8,10.2
28/04/2022,12.1,11.3,14.5,22.2,20.5,9.0,10.2
27/05/2022,12.0,10.8,15.3,23.1,19.9,8.5,10.5
24/06/2022,11.1,9.8,17.4,21.8,20.2,9.5,10.4
22/07/2022,11.2,9.6,14.6,22.8,20.7,9.8,11.4
26/08/2022,10.4,11.9,14.5,21.8,20.2,11.1,10.2
22/09/2022,10.3,10.4,16.8,22.0,21.4,8.8,10.4
28/10/2022,10.8,12.2,15.1,21.6,20.4,9.4,10.5
25/11/2022,7.0,12.0,16.0,22.8,21.6,10.2,10.3
23/12/2022,8.0,12.0,14.2,23.1,20.8,11.8,10.1
27/01/2023,9.7,12.8,16.4,22.4,19.8,9.7,9.1
27/02/2023,9.3,12.7,16.2,23.8,20.4,9.0,8.5
24/03/2023,7.0,11.2,17.5,22.0,20.8,10.5,10.8
28/04/2023,10.7,12.2,16.7,23.0,19.3,8.9,9.2
26/05/2023,10.6,12.1,15.9,23.4,19.4,9.5,9.2
23/06/2023,7.5,12.3,15.5,22.2,20.7,10.8,11.0
25/08/2023,6.7,11.4,13.3,20.2,22.8,12.5,13.1
27/10/2023,6.7,10.8,14.2,19.6,22.9,13.2,12.8
22/12/2023,6.4,10.3,13.0,22.1,21.6,12.8,13.8
