Datum,Veranstaltungen absagen,Quarantaenemassnahmen,Testpflicht fuer Reiserueckkehrende,Abstandsregelungen,Maskenpflicht,Kontaktbeschraekung
23/03/2020,97,97,,,,92
31/03/2020,97,96,,,,88
07/04/2020,96,96,,,,85
14/04/2020,95,94,,,,85
21/04/2020,94,,,,86,80
28/04/2020,88,,,,83,77
05/05/2020,89,,,90,82,67
12/05/2020,86,,,88,73,72
19/05/2020,87,,,92,78,70
26/05/2020,90,,,90,79,70
09/06/2020,85,,,88,80,71
23/06/2020,86,,,90,88,79
07/07/2020,83,,,90,84,71
21/07/2020,86,,,92,92,75
04/08/2020,83,,,92,92,80
18/08/2020,87,,91,89,87,78
01/09/2020,80,,90,92,91,75
15/09/2020,83,,90,91,90,76
29/09/2020,88,,88,91,92,79
13/10/2020,84,,87,93,90,82
27/10/2020,78,,90,96,92,81
10/11/2020,81,91,,96,94,77
24/11/2020,85,88,,94,89,79
08/12/2020,86,92,,92,92,76
17/12/2020,91,93,,95,93,84
05/01/2021,89,95,,96,93,76
19/01/2021,90,91,,93,92,74
02/02/2021,88,90,,93,91,69
16/02/2021,86,92,,94,93,63
02/03/2021,84,91,,92,91,65
16/03/2021,81,89,,95,92,68
30/03/2021,78,89,,91,90,63
13/04/2021,76,88,,91,89,65
27/04/2021,84,86,,91,89,59
11/05/2021,78,87,,90,88,61
25/05/2021,80,88,,89,92,64
08/06/2021,80,91,,90,91,67
22/06/2021,82,88,,89,88,69
06/07/2021,78,88,,87,83,65
20/07/2021,78,88,,88,88,67
03/08/2021,77,88,89,88,87,71
17/08/2021,71,84,88,83,88,60
31/08/2021,67,83,87,84,82,62
15/09/2021,68,85,91,83,89,
28/09/2021,64,82,88,84,86,
12/10/2021,67,79,87,79,83,
26/10/2021,65,85,86,84,90,
09/11/2021,75,86,88,87,89,
23/11/2021,76,85,88,88,91,
07/12/2021,82,89,94,91,94,74
21/12/2021,80,88,,90,92,73
04/01/2022,78,86,,88,91,73
18/01/2022,78,82,,87,89,68
01/02/2022,75,81,,87,89,59
15/02/2022,70,78,,85,86,58
01/03/2022,65,78,,64,87,61
15/03/2022,68,77,,80,83,53
29/03/2022,68,73,,82,89,
12/04/2022,74,73,,,86,
26/04/2022,73,74,,,82,
10/05/2022,72,,,,85,
24/05/2022,71,,,,82,
07/06/2022,76,,,,87,
05/07/2022,69,,,,83,
02/08/2022,68,,,,84,
06/09/2022,66,,,,78,
04/10/2022,60,,,,79,
02/11/2022,63,,,,86,
06/12/2022,63,,,,80,
03/01/2023,57,,,,78,
07/02/2023,57,,,,77,
07/03/2023,57,,,,76,
04/04/2023,58,,,,75,
