Datum,(Sehr) hoch,Mittel,(Sehr) niedrig
23/03/2020,81,11,8
31/03/2020,79,12,8
07/04/2020,76,15,9
14/04/2020,74,16,10
21/04/2020,73,20,8
28/04/2020,72,19,9
05/05/2020,63,25,12
12/05/2020,68,19,13
19/05/2020,61,22,17
26/05/2020,60,23,17
09/06/2020,63,25,12
23/06/2020,58,24,18
07/07/2020,60,24,16
21/07/2020,65,24,11
04/08/2020,63,24,13
18/08/2020,63,23,13
01/09/2020,64,22,14
15/09/2020,61,25,14
29/09/2020,63,24,13
13/10/2020,67,21,12
27/10/2020,73,19,8
10/11/2020,69,19,12
24/11/2020,69,22,9
08/12/2020,69,20,11
17/12/2020,74,18,8
05/01/2021,76,15,10
19/01/2021,71,19,10
02/02/2021,69,19,12
16/02/2021,65,21,13
02/03/2021,67,21,12
16/03/2021,68,20,12
30/03/2021,68,23,9
13/04/2021,70,19,11
27/04/2021,66,25,10
11/05/2021,67,18,14
25/05/2021,66,22,13
08/06/2021,62,23,15
22/06/2021,60,25,15
06/07/2021,64,20,16
20/07/2021,62,24,14
03/08/2021,63,24,13
17/08/2021,63,23,14
31/08/2021,58,27,15
15/09/2021,62,23,16
28/09/2021,55,27,18
12/10/2021,53,27,20
26/10/2021,56,31,14
09/11/2021,67,22,11
23/11/2021,62,24,13
07/12/2021,69,21,10
21/12/2021,68,25,8
