Datum,(Sehr) gross,Mittel,(Sehr) klein
23/03/2020,37,23,41
31/03/2020,34,25,41
07/04/2020,40,31,30
14/04/2020,26,24,47
21/04/2020,33,24,43
28/04/2020,29,24,47
05/05/2020,28,26,47
12/05/2020,26,27,47
19/05/2020,37,25,39
26/05/2020,25,21,54
09/06/2020,13,14,73
23/06/2020,14,16,70
07/07/2020,14,18,68
21/07/2020,20,20,61
04/08/2020,19,20,61
18/08/2020,21,21,58
01/09/2020,19,23,58
15/09/2020,16,19,65
29/09/2020,19,27,53
13/10/2020,19,20,61
27/10/2020,27,25,48
10/11/2020,22,22,56
24/11/2020,23,26,51
08/12/2020,24,24,52
17/12/2020,26,25,49
05/01/2021,22,24,54
19/01/2021,23,24,52
02/02/2021,23,28,49
16/02/2021,21,21,58
02/03/2021,21,26,53
16/03/2021,24,20,55
30/03/2021,20,23,57
13/04/2021,26,20,54
27/04/2021,21,25,54
11/05/2021,23,21,56
25/05/2021,19,20,61
08/06/2021,17,22,61
22/06/2021,18,23,59
06/07/2021,18,22,60
20/07/2021,21,21,58
03/08/2021,17,19,64
17/08/2021,16,18,66
31/08/2021,19,20,61
15/09/2021,19,22,59
28/09/2021,12,19,69
12/10/2021,18,22,61
26/10/2021,20,21,59
09/11/2021,17,23,60
23/11/2021,23,23,54
07/12/2021,24,23,53
21/12/2021,20,25,55
04/01/2022,17,24,59
18/01/2022,17,19,62
01/02/2022,21,22,57
15/02/2022,16,21,63
01/03/2022,20,21,59
15/03/2022,14,25,61
29/03/2022,17,26,58
12/04/2022,20,24,55
26/04/2022,19,22,59
10/05/2022,15,23,62
24/05/2022,17,21,62
07/06/2022,19,23,58
05/07/2022,18,28,54
02/08/2022,20,23,57
06/09/2022,14,20,66
04/10/2022,19,21,60
02/11/2022,20,20,60
06/12/2022,16,24,60
03/01/2023,19,20,61
07/02/2023,17,16,67
07/03/2023,18,21,60
04/04/2023,18,18,64
