Datum,(Gar) nicht sicher,Mittel,(Sehr) sicher
23/03/2020,39,33,28
31/03/2020,29,40,31
07/04/2020,33,38,29
14/04/2020,32,34,34
21/04/2020,25,39,36
28/04/2020,24,40,36
05/05/2020,23,40,37
12/05/2020,21,38,41
19/05/2020,31,34,35
26/05/2020,29,37,34
09/06/2020,22,37,41
23/06/2020,24,40,36
07/07/2020,22,35,43
21/07/2020,21,41,37
04/08/2020,24,42,33
18/08/2020,20,40,40
01/09/2020,27,34,39
15/09/2020,25,38,37
29/09/2020,23,39,38
13/10/2020,25,36,39
27/10/2020,27,42,31
10/11/2020,27,41,32
24/11/2020,26,41,33
08/12/2020,27,40,33
17/12/2020,28,43,28
05/01/2021,23,37,40
19/01/2021,25,38,36
02/02/2021,22,35,44
16/02/2021,27,34,39
02/03/2021,24,35,41
16/03/2021,25,35,40
30/03/2021,24,36,40
13/04/2021,19,35,46
27/04/2021,16,32,52
11/05/2021,14,28,58
25/05/2021,18,30,53
08/06/2021,14,24,62
22/06/2021,15,28,57
06/07/2021,18,27,55
20/07/2021,20,27,53
03/08/2021,16,24,60
17/08/2021,14,26,60
31/08/2021,17,28,55
15/09/2021,16,28,55
28/09/2021,17,29,55
12/10/2021,14,27,58
26/10/2021,19,31,51
09/11/2021,22,35,42
23/11/2021,27,34,39
07/12/2021,27,31,42
21/12/2021,28,32,40
04/01/2022,28,32,39
18/01/2022,30,31,39
01/02/2022,29,33,38
15/02/2022,29,31,40
01/03/2022,26,33,41
15/03/2022,32,30,38
29/03/2022,33,32,36
12/04/2022,34,29,37
26/04/2022,33,28,39
10/05/2022,30,29,40
24/05/2022,23,34,43
07/06/2022,24,36,40
05/07/2022,29,35,36
02/08/2022,30,33,37
06/09/2022,28,33,39
04/10/2022,32,33,35
02/11/2022,31,32,37
06/12/2022,32,32,37
03/01/2023,28,34,38
07/02/2023,27,27,47
07/03/2023,20,33,37
04/04/2023,29,32,39
