Datum,Bedeckungen fuer Mund und Nase getragen,Mehr Abstand zu anderen Personen eingehalten,Seltener Freunde oder Familie getroffen,Weniger das Zuhause verlassen,Oeffentlichkeit meiden,Keine Massnahmen ergriffen
23/03/2020,,12,,,47,32
31/03/2020,,9,,,47,22
07/04/2020,,9,,,52,22
14/04/2020,,13,,,42,26
21/04/2020,,11,,,46,19
28/04/2020,,15,,,44,22
05/05/2020,,19,,,41,22
12/05/2020,,27,,,52,19
19/05/2020,,17,,,49,20
26/05/2020,,19,,,39,25
09/06/2020,94,92,79,73,,1
23/06/2020,95,91,80,67,,1
07/07/2020,95,89,72,64,,0
21/07/2020,95,91,70,64,,0
04/08/2020,95,90,68,64,,1
18/08/2020,94,90,70,64,,0
01/09/2020,97,88,70,60,,0
15/09/2020,96,89,60,51,,1
29/09/2020,95,91,64,65,,1
13/10/2020,96,90,65,59,,1
27/10/2020,96,92,76,69,,0
10/11/2020,98,95,82,73,,0
24/11/2020,97,93,78,70,,0
08/12/2020,95,92,83,75,,0
17/12/2020,97,95,86,80,,0
05/01/2021,96,94,87,80,,1
19/01/2021,97,92,86,82,,0
02/02/2021,98,91,83,82,,0
16/02/2021,98,91,85,79,,0
02/03/2021,95,91,83,73,,1
16/03/2021,96,95,83,78,,0
30/03/2021,95,87,80,69,,
13/04/2021,96,82,79,70,,
27/04/2021,96,82,81,66,,
11/05/2021,92,79,78,66,,
25/05/2021,96,87,79,66,,
08/06/2021,98,84,71,59,,
22/06/2021,96,77,64,50,,
06/07/2021,97,74,58,41,,
20/07/2021,96,75,54,40,,
03/08/2021,96,76,53,42,,
17/08/2021,95,75,46,36,,
31/08/2021,95,70,45,38,,
15/09/2021,96,73,46,35,,
28/09/2021,97,67,44,30,,
12/10/2021,95,71,38,31,,
26/10/2021,97,74,39,31,,
09/11/2021,97,71,45,36,,
23/11/2021,97,79,58,50,,
07/12/2021,96,76,64,56,,
21/12/2021,96,67,53,45,,
04/01/2022,95,74,62,53,,
18/01/2022,94,74,62,49,,
01/02/2022,96,78,58,56,,
15/02/2022,97,74,61,50,,
01/03/2022,96,71,56,48,,
15/03/2022,95,67,53,40,,
29/03/2022,94,72,47,37,,
12/04/2022,94,76,52,43,,
26/04/2022,87,64,48,39,,
10/05/2022,88,66,36,31,,
24/05/2022,85,65,35,32,,
07/06/2022,80,64,31,30,,
05/07/2022,74,61,32,30,,
02/08/2022,76,61,31,27,,
06/09/2022,77,57,30,24,,
04/10/2022,77,60,28,25,,
02/11/2022,75,61,29,28,,
06/12/2022,72,51,27,23,,
03/01/2023,73,53,29,26,,
07/02/2023,67,49,25,22,,
07/03/2023,61,48,26,19,,
04/04/2023,59,51,27,21,,
